OBJECTID,EVENT_UNIQUE_ID,REPORT_DATE,OCC_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DAY,REPORT_DOY,REPORT_DOW,REPORT_HOUR,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOY,OCC_DOW,OCC_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,UCR_CODE,UCR_EXT,OFFENCE,CSI_CATEGORY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,x,y
243293,GO-20202151668,11/13/2020 5:00:00 AM,11/13/2020 5:00:00 AM,2020,November,13,318,Friday    ,2,2020.0,November,13.0,318.0,Friday    ,2,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1430,100,Assault,Assault,085,South Parkdale (85),085,South Parkdale (85),-79.4263548245471,43.6363272796578,-8841701.37468486,5409334.39746048
175655,GO-2019243103,2/7/2019 5:00:00 AM,2/7/2019 5:00:00 AM,2019,February,7,38,Thursday  ,22,2019.0,February,7.0,38.0,Thursday  ,19,D51,"Other Non Commercial / Corporate Places (Non-Profit, Gov'T, Firehall)",Other,1420,100,Assault With Weapon,Assault,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),-79.3795628472736,43.6562871953909,-8836492.5155207,5412404.99420423
459518,GO-20252401482,11/16/2025 5:00:00 AM,11/16/2025 5:00:00 AM,2025,November,16,320,Sunday    ,11,2025.0,November,16.0,320.0,Sunday    ,11,D51,"Apartment (Rooming House, Condo)",Apartment,1460,100,Assault Peace Officer,Assault,073,Moss Park (73),073,Moss Park (73),-79.3669402557577,43.6564944955982,-8835087.37511808,5412436.89036449
293726,GO-2022724917,4/19/2022 4:00:00 AM,4/19/2022 4:00:00 AM,2022,April,19,109,Tuesday   ,7,2022.0,April,19.0,109.0,Tuesday   ,1,D43,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2135,210,Theft Of Motor Vehicle,Auto Theft,134,Highland Creek (134),134,Highland Creek (134),-79.1581128360654,43.7946391739537,-8811840.81306001,5433716.92746951
347675,GO-20231479872,6/26/2023 4:00:00 AM,6/26/2023 4:00:00 AM,2023,June,26,177,Monday    ,21,2023.0,June,26.0,177.0,Monday    ,20,D32,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,151,Yonge-Doris (151),051,Willowdale East (51),-79.4116092686574,43.7713856904406,-8840059.90689948,5430131.48415679
22023,GO-20142873192,9/9/2014 4:00:00 AM,9/9/2014 4:00:00 AM,2014,September,9,252,Tuesday   ,6,2014.0,September,9.0,252.0,Tuesday   ,6,D14,Convenience Stores,Commercial,2120,200,B&E,Break and Enter,084,Little Portugal (84),084,Little Portugal (84),-79.4281376239528,43.6532404000251,-8841899.83496173,5411936.21485172
375946,GO-2024106311,1/15/2024 5:00:00 AM,1/15/2024 5:00:00 AM,2024,January,15,15,Monday    ,8,2024.0,January,15.0,15.0,Monday    ,8,D43,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,Assault,134,Highland Creek (134),134,Highland Creek (134),-79.1635534187712,43.7924814803355,-8812446.45598919,5433384.17497919
144794,GO-2018682968,4/17/2018 4:00:00 AM,4/17/2018 4:00:00 AM,2018,April,17,107,Tuesday   ,1,2018.0,April,17.0,107.0,Tuesday   ,1,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1430,100,Assault,Assault,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),-79.407706732919,43.6564703983052,-8839625.47857915,5412433.18254426
266099,GO-20211402816,7/26/2021 4:00:00 AM,7/26/2021 4:00:00 AM,2021,July,26,207,Monday    ,2,2021.0,July,26.0,207.0,Monday    ,2,D42,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1430,100,Assault,Assault,128,Agincourt South-Malvern West (128),128,Agincourt South-Malvern West (128),-79.2882635932652,43.7832893385719,-8826329.12905561,5431966.72773941
47153,GO-20151051965,6/21/2015 4:00:00 AM,6/21/2015 4:00:00 AM,2015,June,21,172,Sunday    ,20,2015.0,June,21.0,172.0,Sunday    ,20,D54,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,054,O'Connor-Parkview (54),054,O'Connor-Parkview (54),-79.2971135614082,43.705907295887,-8827314.3029869,5420042.88517996
239178,GO-20201863951,10/1/2020 4:00:00 AM,10/1/2020 4:00:00 AM,2020,October,1,275,Thursday  ,10,2020.0,October,1.0,275.0,Thursday  ,10,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1430,100,Assault,Assault,073,Moss Park (73),073,Moss Park (73),-79.3718823514661,43.6535036926073,-8835637.52661693,5411976.72412838
