OBJECTID,EVENT_UNIQUE_ID,REPORT_DATE,OCC_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DAY,REPORT_DOY,REPORT_DOW,REPORT_HOUR,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOY,OCC_DOW,OCC_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,UCR_CODE,UCR_EXT,OFFENCE,CSI_CATEGORY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,x,y
95483,GO-20162055407,11/19/2016 5:00:00 AM,11/19/2016 5:00:00 AM,2016,November,19,324,Saturday  ,10,2016.0,November,19.0,324.0,Saturday  ,9,D23,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2120,200,B&E,Break and Enter,007,Willowridge-Martingrove-Richview (7),007,Willowridge-Martingrove-Richview (7),-79.5596031767603,43.6887797862426,-8856534.51337855,5417405.77884289
244658,GO-20202250586,11/28/2020 5:00:00 AM,11/28/2020 5:00:00 AM,2020,November,28,333,Saturday  ,8,2020.0,November,28.0,333.0,Saturday  ,8,D13,Bar / Restaurant,Commercial,2120,200,B&E,Break and Enter,092,Corso Italia-Davenport (92),092,Corso Italia-Davenport (92),-79.4505840169951,43.6763545182904,-8844398.55600064,5415493.143484
70172,GO-2016321771,2/23/2016 5:00:00 AM,2/23/2016 5:00:00 AM,2016,February,23,54,Tuesday   ,14,2016.0,February,23.0,54.0,Tuesday   ,10,D55,Schools During Supervised Activity,Educational,1430,100,Assault,Assault,070,South Riverdale (70),070,South Riverdale (70),-79.3505315713734,43.6605293016865,-8833260.7686593,5413057.72366951
288012,GO-2022378043,2/27/2022 5:00:00 AM,2/27/2022 5:00:00 AM,2022,February,27,58,Sunday    ,14,2022.0,February,27.0,58.0,Sunday    ,14,D53,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,1430,100,Assault,Assault,056,Leaside-Bennington (56),056,Leaside-Bennington (56),-79.3688807840777,43.6842090594606,-8835303.39370691,5416702.15568002
328271,GO-2023250418,2/1/2023 5:00:00 AM,1/30/2023 5:00:00 AM,2023,February,1,32,Wednesday ,17,2023.0,January,30.0,30.0,Monday    ,13,D31,"Open Areas (Lakes, Parks, Rivers)",Outside,1430,100,Assault,Assault,027,York University Heights (27),027,York University Heights (27),-79.4947999245511,43.7566568725655,-8849320.64836415,5427861.17618164
278334,GO-20212228392,11/19/2021 5:00:00 AM,11/19/2021 5:00:00 AM,2021,November,19,323,Friday    ,7,2021.0,November,19.0,323.0,Friday    ,3,D53,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2135,210,Theft Of Motor Vehicle,Auto Theft,099,Mount Pleasant East (99),099,Mount Pleasant East (99),-79.3825259736552,43.7055350388314,-8836822.36930949,5419985.56111657
432249,GO-2025714595,4/6/2025 4:00:00 AM,4/6/2025 4:00:00 AM,2025,April,6,96,Sunday    ,20,2025.0,April,6.0,96.0,Sunday    ,14,D41,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,121,Oakridge (121),121,Oakridge (121),-79.2853960670724,43.6970102181584,-8826009.91752145,5418672.91657361
255144,GO-2021601926,4/2/2021 4:00:00 AM,4/2/2021 4:00:00 AM,2021,April,2,92,Friday    ,4,2021.0,April,2.0,92.0,Friday    ,4,D55,Bar / Restaurant,Commercial,1430,100,Assault,Assault,057,Broadview North (57),057,Broadview North (57),-79.3488165151935,43.6894121992519,-8833069.84949869,5417503.13747648
296997,GO-2022929391,5/18/2022 4:00:00 AM,5/18/2022 4:00:00 AM,2022,May,18,138,Wednesday ,7,2022.0,May,18.0,138.0,Wednesday ,0,D32,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2135,210,Theft Of Motor Vehicle,Auto Theft,152,East Willowdale (152),051,Willowdale East (51),-79.3972255789845,43.7784203971275,-8838458.72185295,5431216.01506296
265075,GO-20211338877,7/16/2021 4:00:00 AM,7/16/2021 4:00:00 AM,2021,July,16,197,Friday    ,20,2021.0,July,16.0,197.0,Friday    ,20,D32,"Open Areas (Lakes, Parks, Rivers)",Outside,1430,100,Assault,Assault,151,Yonge-Doris (151),051,Willowdale East (51),-79.4124392781433,43.7674757874038,-8840152.30307871,5429528.75505206
322005,GO-20222415932,12/11/2022 5:00:00 AM,12/11/2022 5:00:00 AM,2022,December,11,345,Sunday    ,1,2022.0,December,11.0,345.0,Sunday    ,1,D32,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1420,100,Assault With Weapon,Assault,050,Newtonbrook East (50),050,Newtonbrook East (50),-79.4155662486542,43.7797643963348,-8840500.39589816,5431423.23201975
337483,GO-2023833572,4/15/2023 4:00:00 AM,4/15/2023 4:00:00 AM,2023,April,15,105,Saturday  ,15,2023.0,April,15.0,105.0,Saturday  ,15,D23,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,003,Thistletown-Beaumond Heights (3),003,Thistletown-Beaumond Heights (3),-79.5613294796607,43.7354054673674,-8856726.68454946,5424586.45733887
405827,GO-20241887773,8/28/2024 4:00:00 AM,8/28/2024 4:00:00 AM,2024,August,28,241,Wednesday ,19,2024.0,August,28.0,241.0,Wednesday ,19,D41,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,1430,100,Assault,Assault,126,Dorset Park (126),126,Dorset Park (126),-79.2853201911481,43.7685220354737,-8826001.47104377,5429690.03501847
197069,GO-20191580019,8/19/2019 4:00:00 AM,8/10/2019 4:00:00 AM,2019,August,19,231,Monday    ,18,2019.0,August,10.0,222.0,Saturday  ,14,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1430,100,Assault,Assault,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),-79.3910757390425,43.6498670889707,-8837774.12479569,5411417.22554557
423043,GO-2025102512,1/14/2025 5:00:00 AM,1/14/2025 5:00:00 AM,2025,January,14,14,Tuesday   ,21,2025.0,January,14.0,14.0,Tuesday   ,21,D41,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1420,100,Assault With Weapon,Assault,120,Clairlea-Birchmount (120),120,Clairlea-Birchmount (120),-79.2970939636434,43.7114635847875,-8827312.12145884,5420898.54354152
236517,GO-20201683443,9/5/2020 4:00:00 AM,9/5/2020 4:00:00 AM,2020,September,5,249,Saturday  ,23,2020.0,September,5.0,249.0,Saturday  ,23,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1610,200,Robbery - Mugging,Robbery,165,Harbourfront-CityPlace (165),077,Waterfront Communities-The Island (77),-79.3992859335699,43.6391373782411,-8838688.07952241,5409766.63608335
407778,GO-20242000570,9/12/2024 4:00:00 AM,9/12/2024 4:00:00 AM,2024,September,12,256,Thursday  ,10,2024.0,September,12.0,256.0,Thursday  ,2,D32,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,Assault,037,Willowdale West (37),037,Willowdale West (37),-79.4242740558606,43.7778351106928,-8841469.74453932,5431125.77747564
216496,GO-2020294903,2/11/2020 5:00:00 AM,2/10/2020 5:00:00 AM,2020,February,11,42,Tuesday   ,10,2020.0,February,10.0,41.0,Monday    ,14,D55,Schools During Supervised Activity,Educational,1430,100,Assault,Assault,044,Flemingdon Park (44),044,Flemingdon Park (44),-79.3361010284471,43.7093523771391,-8831654.36796067,5420573.41202044
338646,GO-2023905891,4/24/2023 4:00:00 AM,4/24/2023 4:00:00 AM,2023,April,24,114,Monday    ,9,2023.0,April,24.0,114.0,Monday    ,9,D51,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),-79.3779953502673,43.6621331012369,-8836318.02255283,5413304.51089761
437394,GO-20251035237,5/19/2025 4:00:00 AM,5/19/2025 4:00:00 AM,2025,May,19,139,Monday    ,2,2025.0,May,19.0,139.0,Monday    ,2,D12,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,1430,100,Assault,Assault,090,Junction Area (90),090,Junction Area (90),-79.4740657062366,43.678891022055,-8847012.52566308,5415883.55819627
404285,GO-20241798040,8/17/2024 4:00:00 AM,8/17/2024 4:00:00 AM,2024,August,17,230,Saturday  ,5,2024.0,August,17.0,230.0,Saturday  ,5,D41,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2120,200,B&E,Break and Enter,122,Birchcliffe-Cliffside (122),122,Birchcliffe-Cliffside (122),-79.2712408708547,43.6885286374658,-8824434.16831065,5417367.11527435
385498,GO-2024659413,3/27/2024 4:00:00 AM,3/27/2024 4:00:00 AM,2024,March,27,87,Wednesday ,12,2024.0,March,27.0,87.0,Wednesday ,12,D22,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,1430,100,Assault,Assault,016,Stonegate-Queensway (16),016,Stonegate-Queensway (16),-79.4852412117798,43.6301484953454,-8848256.57730036,5408384.0712512
141838,GO-2018478850,3/16/2018 4:00:00 AM,9/1/2017 4:00:00 AM,2018,March,16,75,Friday    ,7,2017.0,September,1.0,244.0,Friday    ,8,D12,Schools During Supervised Activity,Educational,1430,100,Assault,Assault,111,Rockcliffe-Smythe (111),111,Rockcliffe-Smythe (111),-79.4777600052558,43.6780129231977,-8847423.7731466,5415748.40070943
126944,GO-20171883093,10/17/2017 4:00:00 AM,10/17/2017 4:00:00 AM,2017,October,17,290,Tuesday   ,21,2017.0,October,17.0,290.0,Tuesday   ,20,D54,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1430,100,Assault,Assault,057,Broadview North (57),057,Broadview North (57),-79.3508621107908,43.6879661924393,-8833297.56420378,5417280.52929023
453480,GO-20252033911,9/27/2025 4:00:00 AM,1/1/2025 5:00:00 AM,2025,September,27,270,Saturday  ,16,2025.0,January,1.0,1.0,Wednesday ,16,D23,"Apartment (Rooming House, Condo)",Apartment,1420,100,Assault With Weapon,Assault,008,Humber Heights-Westmount (8),008,Humber Heights-Westmount (8),-79.5242298818012,43.6848670940967,-8852596.77619147,5416803.45106866
171455,GO-20182360948,12/26/2018 5:00:00 AM,12/25/2018 5:00:00 AM,2018,December,26,360,Wednesday ,5,2018.0,December,25.0,359.0,Tuesday   ,20,D55,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,064,Woodbine Corridor (64),064,Woodbine Corridor (64),-79.3176530224365,43.6689725891434,-8829600.74532659,5414357.02245795
430456,GO-2025590094,3/21/2025 4:00:00 AM,3/21/2025 4:00:00 AM,2025,March,21,80,Friday    ,1,2025.0,March,21.0,80.0,Friday    ,1,D53,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1420,110,Assault Bodily Harm,Assault,095,Annex (95),095,Annex (95),-79.3874030485952,43.6701046097676,-8837365.28281505,5414531.23788246
342727,GO-20231153721,5/23/2023 4:00:00 AM,5/22/2023 4:00:00 AM,2023,May,23,143,Tuesday   ,6,2023.0,May,22.0,142.0,Monday    ,23,D31,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1420,100,Assault With Weapon,Assault,025,Glenfield-Jane Heights (25),025,Glenfield-Jane Heights (25),-79.5132098896586,43.7393845436018,-8851370.03629348,5425199.5216569
415505,GO-20242461980,11/11/2024 5:00:00 AM,11/11/2024 5:00:00 AM,2024,November,11,316,Monday    ,15,2024.0,November,11.0,316.0,Monday    ,12,D22,Jails / Detention Centres,Other,1420,110,Assault Bodily Harm,Assault,160,Mimico-Queensway (160),017,Mimico (includes Humber Bay Shores) (17),-79.5158140495646,43.6120798127361,-8851659.93005862,5405605.58336524
237713,GO-20201761788,9/17/2020 4:00:00 AM,9/16/2020 4:00:00 AM,2020,September,17,261,Thursday  ,10,2020.0,September,16.0,260.0,Wednesday ,20,D22,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2135,210,Theft Of Motor Vehicle,Auto Theft,011,Eringate-Centennial-West Deane (11),011,Eringate-Centennial-West Deane (11),-79.5873542176902,43.6589319911316,-8859623.74513165,5412811.94134542
161809,GO-20181791430,9/27/2018 4:00:00 AM,9/26/2018 4:00:00 AM,2018,September,27,270,Thursday  ,18,2018.0,September,26.0,269.0,Wednesday ,10,D55,"Apartment (Rooming House, Condo)",Apartment,2130,200,Theft From Mail / Bag / Key,Theft Over,064,Woodbine Corridor (64),064,Woodbine Corridor (64),-79.3176862393519,43.6846309204273,-8829604.44302612,5416767.09521945
359006,GO-20232153541,9/14/2023 4:00:00 AM,9/14/2023 4:00:00 AM,2023,September,14,257,Thursday  ,20,2023.0,September,14.0,257.0,Thursday  ,20,D51,Convenience Stores,Commercial,1610,210,Robbery - Business,Robbery,166,St Lawrence-East Bayfront-The Islands (166),077,Waterfront Communities-The Island (77),-79.3714386505948,43.6494287885324,-8835588.13415887,5411349.79452756
448049,GO-20251701822,8/13/2025 4:00:00 AM,8/13/2025 4:00:00 AM,2025,August,13,225,Wednesday ,23,2025.0,August,13.0,225.0,Wednesday ,23,D22,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,159,Etobicoke City Centre (159),014,Islington-City Centre West (14),-79.5547605957281,43.6244780172433,-8855995.4397275,5407512.01101815
200556,GO-20191806868,9/19/2019 4:00:00 AM,9/19/2019 4:00:00 AM,2019,September,19,262,Thursday  ,23,2019.0,September,19.0,262.0,Thursday  ,23,D23,Bar / Restaurant,Commercial,1610,210,Robbery - Business,Robbery,007,Willowridge-Martingrove-Richview (7),007,Willowridge-Martingrove-Richview (7),-79.5308530764543,43.6918622842442,-8853334.06677497,5417880.3325335
244801,GO-20202264898,11/30/2020 5:00:00 AM,11/30/2020 5:00:00 AM,2020,November,30,335,Monday    ,15,2020.0,November,30.0,335.0,Monday    ,14,D32,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2120,200,B&E,Break and Enter,152,East Willowdale (152),051,Willowdale East (51),-79.3998583883368,43.7712212896492,-8838751.80481019,5430106.14036501
309298,GO-20221680309,8/30/2022 4:00:00 AM,8/30/2022 4:00:00 AM,2022,August,30,242,Tuesday   ,14,2022.0,August,30.0,242.0,Tuesday   ,0,D13,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1420,100,Assault With Weapon,Assault,107,Oakwood Village (107),107,Oakwood Village (107),-79.4402399897182,43.6978376657635,-8843247.06418224,5418800.31812044
467045,GO-2026167308,1/23/2026 5:00:00 AM,1/22/2026 5:00:00 AM,2026,January,23,23,Friday    ,17,2026.0,January,22.0,22.0,Thursday  ,10,D43,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,138,Eglinton East (138),138,Eglinton East (138),-79.2393141581579,43.7405958794943,-8820880.10287679,5425386.16254217
254750,GO-2021568063,3/28/2021 4:00:00 AM,3/26/2021 4:00:00 AM,2021,March,28,87,Sunday    ,10,2021.0,March,26.0,85.0,Friday    ,10,NSA,"Apartment (Rooming House, Condo)",Apartment,1420,100,Assault With Weapon,Assault,NSA,NSA,NSA,NSA,0.0,0.0,6.327780442533911e-09,5.6649236412909e-09
223308,GO-2020752913,4/20/2020 4:00:00 AM,4/18/2020 4:00:00 AM,2020,April,20,111,Monday    ,10,2020.0,April,18.0,109.0,Saturday  ,18,D14,"Private Property Structure (Pool, Shed, Detached Garage)",Other,2120,200,B&E,Break and Enter,080,Palmerston-Little Italy (80),080,Palmerston-Little Italy (80),-79.4272831245356,43.6592295074277,-8841804.71256817,5412857.72039687
22334,GO-20142895472,9/12/2014 4:00:00 AM,9/12/2014 4:00:00 AM,2014,September,12,255,Friday    ,13,2014.0,September,12.0,255.0,Friday    ,13,D54,"Apartment (Rooming House, Condo)",Apartment,1420,100,Assault With Weapon,Assault,054,O'Connor-Parkview (54),054,O'Connor-Parkview (54),-79.2969443603637,43.702266203282,-8827295.46761774,5419482.20652154
457916,GO-20252313072,11/3/2025 5:00:00 AM,11/3/2025 5:00:00 AM,2025,November,3,307,Monday    ,23,2025.0,November,3.0,307.0,Monday    ,23,D31,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1420,100,Assault With Weapon,Assault,024,Black Creek (24),024,Black Creek (24),-79.5224897097538,43.7712384789019,-8852403.06113053,5430108.79020626
194610,GO-20191417336,7/28/2019 4:00:00 AM,7/28/2019 4:00:00 AM,2019,July,28,209,Sunday    ,1,2019.0,July,28.0,209.0,Sunday    ,1,D32,"Apartment (Rooming House, Condo)",Apartment,2120,210,Unlawfully In Dwelling-House,Break and Enter,036,Newtonbrook West (36),036,Newtonbrook West (36),-79.4263814445622,43.7966633261324,-8841704.33800971,5434029.09647309
369859,GO-20232756903,11/30/2023 5:00:00 AM,11/30/2023 5:00:00 AM,2023,November,30,334,Thursday  ,2,2023.0,November,30.0,334.0,Thursday  ,2,D42,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1457,100,Pointing A Firearm,Assault,144,Morningside Heights (144),131,Rouge (131),-79.2282355174898,43.8345897062445,-8819646.83420199,5439880.13956
183625,GO-2019754844,4/26/2019 4:00:00 AM,4/26/2019 4:00:00 AM,2019,April,26,116,Friday    ,22,2019.0,April,26.0,116.0,Friday    ,22,D55,Convenience Stores,Commercial,1430,100,Assault,Assault,043,Victoria Village (43),043,Victoria Village (43),-79.3045148586904,43.7189243649187,-8828138.21171147,5422047.61482263
367392,GO-20232631728,11/13/2023 5:00:00 AM,11/13/2023 5:00:00 AM,2023,November,13,317,Monday    ,22,2023.0,November,13.0,317.0,Monday    ,15,D12,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,111,Rockcliffe-Smythe (111),111,Rockcliffe-Smythe (111),-79.4820865989168,43.6806039127456,-8847905.40738755,5416147.21302506
146947,GO-2018828015,5/8/2018 4:00:00 AM,5/4/2018 4:00:00 AM,2018,May,8,128,Tuesday   ,9,2018.0,May,4.0,124.0,Friday    ,15,D41,"Private Property Structure (Pool, Shed, Detached Garage)",Other,2120,200,B&E,Break and Enter,121,Oakridge (121),121,Oakridge (121),-79.2847958665513,43.6956284206525,-8825943.10356308,5418460.16624702
203425,GO-20191981585,10/14/2019 4:00:00 AM,10/14/2019 4:00:00 AM,2019,October,14,287,Monday    ,3,2019.0,October,14.0,287.0,Monday    ,3,D14,Bar / Restaurant,Commercial,1430,100,Assault,Assault,172,Dovercourt Village (172),093,Dovercourt-Wallace Emerson-Junction (93),-79.4244017265035,43.6622521094899,-8841483.95681003,5413322.82371352
355622,GO-20231948545,8/21/2023 4:00:00 AM,8/19/2023 4:00:00 AM,2023,August,21,233,Monday    ,8,2023.0,August,19.0,231.0,Saturday  ,0,D23,"Dealership (Car, Motorcycle, Marine, Trailer, Etc.)",Commercial,2120,200,B&E,Break and Enter,001,West Humber-Clairville (1),001,West Humber-Clairville (1),-79.5924131020687,43.7102602573474,-8860186.89752251,5420713.22649735
222757,GO-2020712359,4/13/2020 4:00:00 AM,4/12/2020 4:00:00 AM,2020,April,13,104,Monday    ,11,2020.0,April,12.0,103.0,Sunday    ,19,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,080,Palmerston-Little Italy (80),080,Palmerston-Little Italy (80),-79.4158381289768,43.6602801047277,-8840530.66144131,5413019.37866003
231251,GO-20201333684,7/18/2020 4:00:00 AM,7/18/2020 4:00:00 AM,2020,July,18,200,Saturday  ,15,2020.0,July,18.0,200.0,Saturday  ,11,D55,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,1430,100,Assault,Assault,069,Blake-Jones (69),069,Blake-Jones (69),-79.3381711017246,43.6724258600902,-8831884.80754425,5414888.48318816
310017,GO-20221727975,9/6/2022 4:00:00 AM,12/27/2021 5:00:00 AM,2022,September,6,249,Tuesday   ,8,2021.0,December,27.0,361.0,Monday    ,0,D55,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,043,Victoria Village (43),043,Victoria Village (43),-79.3015962601505,43.7153245741499,-8827813.31475696,5421493.17551304
60863,GO-20151983774,11/10/2015 5:00:00 AM,11/6/2015 5:00:00 AM,2015,November,10,314,Tuesday   ,15,2015.0,November,6.0,310.0,Friday    ,15,D41,Schools During Supervised Activity,Educational,1430,100,Assault,Assault,122,Birchcliffe-Cliffside (122),122,Birchcliffe-Cliffside (122),-79.2599172894319,43.7011317256561,-8823173.63292846,5419307.51949538
155962,GO-20181414693,8/2/2018 4:00:00 AM,6/1/2018 4:00:00 AM,2018,August,2,214,Thursday  ,12,2018.0,June,1.0,152.0,Friday    ,12,D31,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,023,Pelmo Park-Humberlea (23),023,Pelmo Park-Humberlea (23),-79.5336449827945,43.733959548719,-8853644.86044056,5424363.69196411
236461,GO-20201669782,9/4/2020 4:00:00 AM,9/4/2020 4:00:00 AM,2020,September,4,248,Friday    ,1,2020.0,September,4.0,248.0,Friday    ,1,D31,"Open Areas (Lakes, Parks, Rivers)",Outside,1450,120,Discharge Firearm With Intent,Assault,024,Black Creek (24),024,Black Creek (24),-79.5187419135578,43.7692318856585,-8851985.85838822,5429799.46072449
384180,GO-2024587152,3/17/2024 4:00:00 AM,3/17/2024 4:00:00 AM,2024,March,17,77,Sunday    ,22,2024.0,March,17.0,77.0,Sunday    ,22,D51,Bar / Restaurant,Commercial,1610,100,Robbery With Weapon,Robbery,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),-79.3856604479573,43.6675622067491,-8837171.29735907,5414139.97251363
138568,GO-2018268481,2/12/2018 5:00:00 AM,2/12/2018 5:00:00 AM,2018,February,12,43,Monday    ,3,2018.0,February,12.0,43.0,Monday    ,3,D22,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2120,200,B&E,Break and Enter,159,Etobicoke City Centre (159),014,Islington-City Centre West (14),-79.5408514872457,43.6177350060412,-8854447.08479623,5406475.11348414
164597,GO-20181961023,10/24/2018 4:00:00 AM,10/20/2018 4:00:00 AM,2018,October,24,297,Wednesday ,9,2018.0,October,20.0,293.0,Saturday  ,17,D52,Ttc Subway Station,Transit,1430,100,Assault,Assault,166,St Lawrence-East Bayfront-The Islands (166),077,Waterfront Communities-The Island (77),-79.3790877444954,43.6459171850208,-8836439.62729666,5410809.56352826
273129,GO-20211878408,9/30/2021 4:00:00 AM,9/30/2021 4:00:00 AM,2021,September,30,273,Thursday  ,14,2021.0,September,30.0,273.0,Thursday  ,14,D51,Homeless Shelter / Mission,Other,1430,100,Assault,Assault,166,St Lawrence-East Bayfront-The Islands (166),077,Waterfront Communities-The Island (77),-79.3752405470602,43.6463492854529,-8836011.35928564,5410876.03680687
242225,GO-20202078130,11/2/2020 5:00:00 AM,11/2/2020 5:00:00 AM,2020,November,2,307,Monday    ,10,2020.0,November,2.0,307.0,Monday    ,10,D41,Ttc Subway Station,Transit,1480,100,Assault - Resist/ Prevent Seiz,Assault,124,Kennedy Park (124),124,Kennedy Park (124),-79.2645939144561,43.7327801800712,-8823694.23244209,5424181.99644706
183234,GO-2019732313,4/23/2019 4:00:00 AM,4/18/2019 4:00:00 AM,2019,April,23,113,Tuesday   ,18,2019.0,April,18.0,108.0,Thursday  ,12,D42,Schools During Supervised Activity,Educational,1430,100,Assault,Assault,128,Agincourt South-Malvern West (128),128,Agincourt South-Malvern West (128),-79.2473530569037,43.7889510779043,-8821774.98902,5432839.75387271
444597,GO-20251480031,7/16/2025 4:00:00 AM,7/15/2025 4:00:00 AM,2025,July,16,197,Wednesday ,6,2025.0,July,15.0,196.0,Tuesday   ,21,D23,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2135,210,Theft Of Motor Vehicle,Auto Theft,007,Willowridge-Martingrove-Richview (7),007,Willowridge-Martingrove-Richview (7),-79.5631741897195,43.6815020483167,-8856932.03672732,5416285.46045718
101209,GO-2017142587,1/23/2017 5:00:00 AM,1/23/2017 5:00:00 AM,2017,January,23,23,Monday    ,18,2017.0,January,23.0,23.0,Monday    ,18,D52,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,1480,100,Assault - Resist/ Prevent Seiz,Assault,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),-79.3840092445827,43.6564307955346,-8836987.48628192,5412427.08921621
446075,GO-20251576325,7/28/2025 4:00:00 AM,7/28/2025 4:00:00 AM,2025,July,28,209,Monday    ,17,2025.0,July,28.0,209.0,Monday    ,17,D31,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1430,100,Assault,Assault,027,York University Heights (27),027,York University Heights (27),-79.4855319175711,43.7608137581822,-8848288.93854425,5428501.86411455
326980,GO-2023159064,1/21/2023 5:00:00 AM,7/1/2022 4:00:00 AM,2023,January,21,21,Saturday  ,8,2022.0,July,1.0,182.0,Friday    ,8,D52,"Apartment (Rooming House, Condo)",Apartment,2120,200,B&E,Break and Enter,169,Bay-Cloverhill (169),076,Bay Street Corridor (76),-79.3874168463029,43.6649989041026,-8837366.81869006,5413745.50749772
440429,GO-20251233431,6/13/2025 4:00:00 AM,6/13/2025 4:00:00 AM,2025,June,13,164,Friday    ,21,2025.0,June,13.0,164.0,Friday    ,21,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1460,100,Assault Peace Officer,Assault,073,Moss Park (73),073,Moss Park (73),-79.37100285365,43.6582965974003,-8835539.62145874,5412714.17346526
418019,GO-20242604522,12/1/2024 5:00:00 AM,12/1/2024 5:00:00 AM,2024,December,1,336,Sunday    ,4,2024.0,December,1.0,336.0,Sunday    ,3,D32,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,Assault,033,Clanton Park (33),033,Clanton Park (33),-79.4475521116044,43.7513864744175,-8844061.0458799,5427048.92973682
313922,GO-20221954838,10/7/2022 4:00:00 AM,10/7/2022 4:00:00 AM,2022,October,7,280,Friday    ,17,2022.0,October,7.0,280.0,Friday    ,17,D22,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,1480,100,Assault - Resist/ Prevent Seiz,Assault,159,Etobicoke City Centre (159),014,Islington-City Centre West (14),-79.5523811835754,43.6149913052424,-8855730.56479527,5406053.23780096
111105,GO-2017829869,5/11/2017 4:00:00 AM,5/11/2017 4:00:00 AM,2017,May,11,131,Thursday  ,12,2017.0,May,11.0,131.0,Thursday  ,12,D31,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,Assault,025,Glenfield-Jane Heights (25),025,Glenfield-Jane Heights (25),-79.504749388011,43.7395173325115,-8850428.21751898,5425219.98142507
110491,GO-2017793788,5/5/2017 4:00:00 AM,5/5/2017 4:00:00 AM,2017,May,5,125,Friday    ,19,2017.0,May,5.0,125.0,Friday    ,18,D41,Jails / Detention Centres,Other,1460,100,Assault Peace Officer,Assault,120,Clairlea-Birchmount (120),120,Clairlea-Birchmount (120),-79.2827563906227,43.7279392674256,-8825716.07013327,5423436.23495601
43680,GO-2015809678,5/15/2015 4:00:00 AM,5/12/2015 4:00:00 AM,2015,May,15,135,Friday    ,11,2015.0,May,12.0,132.0,Tuesday   ,14,D32,"Apartment (Rooming House, Condo)",Apartment,2120,200,B&E,Break and Enter,032,Englemount-Lawrence (32),032,Englemount-Lawrence (32),-79.4305050893596,43.7225338615502,-8842163.37996,5422603.58249537
23968,GO-20143010377,9/29/2014 4:00:00 AM,9/29/2014 4:00:00 AM,2014,September,29,272,Monday    ,19,2014.0,September,29.0,272.0,Monday    ,19,D32,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,1430,100,Assault,Assault,036,Newtonbrook West (36),036,Newtonbrook West (36),-79.4453749120903,43.7908441873097,-8843818.68108455,5433131.6850407
